area,areaid,daydiff,daytotal,referencedate,totaldistinctpersons,totalvaccinations
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,2114,2305,2021-01-04T00:00:00,3198,3198
ΚΕΡΚΥΡΑΣ,603,0,0,2021-01-04T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2021-01-04T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2021-01-04T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,124,124,2021-01-04T00:00:00,124,124
ΚΟΡΙΝΘΙΑΣ,1003,50,50,2021-01-04T00:00:00,50,50
ΚΩ,1206,0,0,2021-01-04T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2021-01-04T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,173,208,2021-01-04T00:00:00,714,714
ΛΑΣΙΘΙΟΥ,1302,0,0,2021-01-04T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2021-01-04T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2021-01-04T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2021-01-04T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2021-01-04T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2021-01-04T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2021-01-04T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2021-01-04T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2021-01-04T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2021-01-04T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2021-01-04T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2021-01-04T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2021-01-04T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,137,137,2021-01-04T00:00:00,137,137
ΠΕΛΛΑΣ,204,142,142,2021-01-04T00:00:00,142,142
ΠΙΕΡΙΑΣ,205,78,78,2021-01-04T00:00:00,78,78
ΠΡΕΒΕΖΑΣ,404,0,0,2021-01-04T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2021-01-04T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2021-01-04T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2021-01-04T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2021-01-04T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2021-01-04T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2021-01-04T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2021-01-04T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2021-01-04T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,140,140,2021-01-04T00:00:00,140,140
