area,areaid,daydiff,daytotal,referencedate,totaldistinctpersons,totalvaccinations
ΠΕΙΡΑΙΩΣ,908,0,0,2021-01-03T00:00:00,0,0
ΠΕΛΛΑΣ,204,0,0,2021-01-03T00:00:00,0,0
ΠΙΕΡΙΑΣ,205,0,0,2021-01-03T00:00:00,0,0
ΠΡΕΒΕΖΑΣ,404,0,0,2021-01-03T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2021-01-03T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2021-01-03T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2021-01-03T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2021-01-03T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2021-01-03T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2021-01-03T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2021-01-03T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2021-01-03T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,2021-01-03T00:00:00,0,0
ΦΘΙΩΤΙΔΑΣ,804,0,0,2021-01-03T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2021-01-03T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2021-01-03T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2021-01-03T00:00:00,0,0
ΧΑΝΙΩΝ,1304,0,0,2021-01-03T00:00:00,0,0
ΧΙΟΥ,1105,0,0,2021-01-03T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,2020-12-29T00:00:00,0,0
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1,55,2020-12-29T00:00:00,142,142
ΑΝΔΡΟΥ,1201,0,0,2020-12-29T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2020-12-29T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2020-12-29T00:00:00,0,0
ΑΡΤΑΣ,401,0,0,2020-12-29T00:00:00,0,0
ΑΧΑΪΑΣ,702,105,105,2020-12-29T00:00:00,105,105
ΒΟΙΩΤΙΑΣ,801,0,0,2020-12-29T00:00:00,0,0
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,0,0,2020-12-29T00:00:00,0,0
ΓΡΕΒΕΝΩΝ,301,0,0,2020-12-29T00:00:00,0,0
ΔΡΑΜΑΣ,101,0,0,2020-12-29T00:00:00,0,0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,81,94,2020-12-29T00:00:00,147,147
ΙΚΑΡΙΑΣ,1101,0,0,2020-12-30T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,2020-12-30T00:00:00,0,0
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,-15,40,2020-12-30T00:00:00,182,182
ΑΝΔΡΟΥ,1201,0,0,2020-12-30T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2020-12-30T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2020-12-30T00:00:00,0,0
ΑΡΤΑΣ,401,0,0,2020-12-30T00:00:00,0,0
ΑΧΑΪΑΣ,702,0,105,2020-12-30T00:00:00,210,210
ΒΟΙΩΤΙΑΣ,801,0,0,2020-12-30T00:00:00,0,0
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,0,0,2020-12-30T00:00:00,0,0
ΓΡΕΒΕΝΩΝ,301,0,0,2020-12-30T00:00:00,0,0
ΔΡΑΜΑΣ,101,0,0,2020-12-30T00:00:00,0,0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,-45,49,2020-12-30T00:00:00,196,196
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,-15,40,2020-12-30T00:00:00,194,194
ΕΒΡΟΥ,102,0,0,2020-12-30T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2020-12-30T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2020-12-30T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2020-12-30T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2020-12-30T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,0,0,2020-12-30T00:00:00,0,0
ΗΡΑΚΛΕΙΟΥ,1301,0,0,2020-12-30T00:00:00,0,0
ΘΑΣΟΥ,103,0,0,2020-12-30T00:00:00,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,2020-12-30T00:00:00,0,0
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,21,79,2020-12-30T00:00:00,137,137
ΘΗΡΑΣ,1202,0,0,2020-12-30T00:00:00,0,0
ΙΘΑΚΗΣ,602,0,0,2020-12-30T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,2020-12-28T00:00:00,0,0
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,21,54,2020-12-28T00:00:00,87,87
ΑΝΔΡΟΥ,1201,0,0,2020-12-28T00:00:00,0,0
ΑΡΓΟΛΙΔΑΣ,1001,0,0,2020-12-28T00:00:00,0,0
ΑΡΚΑΔΙΑΣ,1002,0,0,2020-12-28T00:00:00,0,0
ΑΡΤΑΣ,401,0,0,2020-12-28T00:00:00,0,0
ΑΧΑΪΑΣ,702,0,0,2020-12-28T00:00:00,0,0
ΒΟΙΩΤΙΑΣ,801,0,0,2020-12-28T00:00:00,0,0
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,0,0,2020-12-28T00:00:00,0,0
ΓΡΕΒΕΝΩΝ,301,0,0,2020-12-28T00:00:00,0,0
ΔΡΑΜΑΣ,101,0,0,2020-12-28T00:00:00,0,0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,-27,13,2020-12-28T00:00:00,53,53
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,25,62,2020-12-28T00:00:00,99,99
ΕΒΡΟΥ,102,0,0,2020-12-28T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2020-12-28T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2020-12-28T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2020-12-28T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2020-12-28T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,0,0,2020-12-28T00:00:00,0,0
ΗΡΑΚΛΕΙΟΥ,1301,0,0,2020-12-28T00:00:00,0,0
ΘΑΣΟΥ,103,0,0,2020-12-28T00:00:00,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,2020-12-28T00:00:00,0,0
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,0,0,2020-12-28T00:00:00,0,0
ΘΗΡΑΣ,1202,0,0,2020-12-28T00:00:00,0,0
ΙΘΑΚΗΣ,602,0,0,2020-12-28T00:00:00,0,0
ΙΚΑΡΙΑΣ,1101,0,0,2020-12-28T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,0,0,2020-12-28T00:00:00,0,0
ΚΑΒΑΛΑΣ,104,0,0,2020-12-28T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2020-12-28T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,0,0,2020-12-28T00:00:00,0,0
ΚΑΡΠΑΘΟΥ,1204,0,0,2020-12-28T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2020-12-28T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2020-12-28T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,3,75,2020-12-28T00:00:00,147,147
ΚΕΡΚΥΡΑΣ,603,0,0,2020-12-28T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2020-12-28T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2020-12-28T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,0,0,2020-12-28T00:00:00,0,0
ΚΟΡΙΝΘΙΑΣ,1003,0,0,2020-12-28T00:00:00,0,0
ΚΩ,1206,0,0,2020-12-28T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2020-12-28T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,0,0,2020-12-28T00:00:00,0,0
ΛΑΣΙΘΙΟΥ,1302,0,0,2020-12-28T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2020-12-28T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2020-12-28T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2020-12-28T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2020-12-28T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2020-12-28T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2020-12-28T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2020-12-28T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2020-12-28T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2020-12-28T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2020-12-28T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2020-12-28T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2020-12-28T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,0,0,2020-12-28T00:00:00,0,0
ΠΕΛΛΑΣ,204,0,0,2020-12-28T00:00:00,0,0
ΠΙΕΡΙΑΣ,205,0,0,2020-12-28T00:00:00,0,0
ΠΡΕΒΕΖΑΣ,404,0,0,2020-12-28T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2020-12-28T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2020-12-28T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2020-12-28T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2020-12-28T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2020-12-28T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2020-12-28T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2020-12-28T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2020-12-28T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,2020-12-28T00:00:00,0,0
ΦΘΙΩΤΙΔΑΣ,804,0,0,2020-12-28T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2020-12-28T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2020-12-28T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2020-12-28T00:00:00,0,0
ΧΑΝΙΩΝ,1304,0,0,2020-12-28T00:00:00,0,0
ΧΙΟΥ,1105,0,0,2020-12-28T00:00:00,0,0
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,-7,55,2020-12-29T00:00:00,154,154
ΕΒΡΟΥ,102,0,0,2020-12-29T00:00:00,0,0
ΕΥΒΟΙΑΣ,802,0,0,2020-12-29T00:00:00,0,0
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,2020-12-29T00:00:00,0,0
ΖΑΚΥΝΘΟΥ,601,0,0,2020-12-29T00:00:00,0,0
ΗΛΕΙΑΣ,703,0,0,2020-12-29T00:00:00,0,0
ΗΜΑΘΙΑΣ,201,0,0,2020-12-29T00:00:00,0,0
ΗΡΑΚΛΕΙΟΥ,1301,0,0,2020-12-29T00:00:00,0,0
ΘΑΣΟΥ,103,0,0,2020-12-29T00:00:00,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,2020-12-29T00:00:00,0,0
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,58,58,2020-12-29T00:00:00,58,58
ΘΗΡΑΣ,1202,0,0,2020-12-29T00:00:00,0,0
ΙΘΑΚΗΣ,602,0,0,2020-12-29T00:00:00,0,0
ΙΚΑΡΙΑΣ,1101,0,0,2020-12-29T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,77,77,2020-12-29T00:00:00,77,77
ΚΑΒΑΛΑΣ,104,0,0,2020-12-29T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2020-12-29T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,0,0,2020-12-29T00:00:00,0,0
ΚΑΡΠΑΘΟΥ,1204,0,0,2020-12-29T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2020-12-29T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2020-12-29T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,46,121,2020-12-29T00:00:00,268,268
ΚΕΡΚΥΡΑΣ,603,0,0,2020-12-29T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2020-12-29T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2020-12-29T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,0,0,2020-12-29T00:00:00,0,0
ΚΟΡΙΝΘΙΑΣ,1003,0,0,2020-12-29T00:00:00,0,0
ΚΩ,1206,0,0,2020-12-29T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2020-12-29T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,105,105,2020-12-29T00:00:00,105,105
ΛΑΣΙΘΙΟΥ,1302,0,0,2020-12-29T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2020-12-29T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2020-12-29T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2020-12-29T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2020-12-29T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2020-12-29T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2020-12-29T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2020-12-29T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2020-12-29T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2020-12-29T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2020-12-29T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2020-12-29T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2020-12-29T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,0,0,2020-12-29T00:00:00,0,0
ΠΕΛΛΑΣ,204,0,0,2020-12-29T00:00:00,0,0
ΠΙΕΡΙΑΣ,205,0,0,2020-12-29T00:00:00,0,0
ΠΡΕΒΕΖΑΣ,404,0,0,2020-12-29T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2020-12-29T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2020-12-29T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2020-12-29T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2020-12-29T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2020-12-29T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2020-12-29T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2020-12-29T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2020-12-29T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,2020-12-29T00:00:00,0,0
ΦΘΙΩΤΙΔΑΣ,804,0,0,2020-12-29T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2020-12-29T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2020-12-29T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2020-12-29T00:00:00,0,0
ΧΑΝΙΩΝ,1304,0,0,2020-12-29T00:00:00,0,0
ΧΙΟΥ,1105,0,0,2020-12-29T00:00:00,0,0
ΙΩΑΝΝΙΝΩΝ,403,23,100,2020-12-30T00:00:00,177,177
ΚΑΒΑΛΑΣ,104,0,0,2020-12-30T00:00:00,0,0
ΚΑΛΥΜΝΟΥ,1203,0,0,2020-12-30T00:00:00,0,0
ΚΑΡΔΙΤΣΑΣ,501,0,0,2020-12-30T00:00:00,0,0
ΚΑΡΠΑΘΟΥ,1204,0,0,2020-12-30T00:00:00,0,0
ΚΑΣΤΟΡΙΑΣ,302,0,0,2020-12-30T00:00:00,0,0
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2020-12-30T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,-26,95,2020-12-30T00:00:00,363,363
ΚΕΡΚΥΡΑΣ,603,0,0,2020-12-30T00:00:00,0,0
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,2020-12-30T00:00:00,0,0
ΚΙΛΚΙΣ,203,0,0,2020-12-30T00:00:00,0,0
ΚΟΖΑΝΗΣ,303,0,0,2020-12-30T00:00:00,0,0
ΚΟΡΙΝΘΙΑΣ,1003,0,0,2020-12-30T00:00:00,0,0
ΚΩ,1206,0,0,2020-12-30T00:00:00,0,0
ΛΑΚΩΝΙΑΣ,1004,0,0,2020-12-30T00:00:00,0,0
ΛΑΡΙΣΑΣ,502,40,145,2020-12-30T00:00:00,250,250
ΛΑΣΙΘΙΟΥ,1302,0,0,2020-12-30T00:00:00,0,0
ΛΕΣΒΟΥ,1102,0,0,2020-12-30T00:00:00,0,0
ΛΕΥΚΑΔΑΣ,605,0,0,2020-12-30T00:00:00,0,0
ΛΗΜΝΟΥ,1103,0,0,2020-12-30T00:00:00,0,0
ΜΑΓΝΗΣΙΑΣ,503,0,0,2020-12-30T00:00:00,0,0
ΜΕΣΣΗΝΙΑΣ,1005,0,0,2020-12-30T00:00:00,0,0
ΜΗΛΟΥ,1207,0,0,2020-12-30T00:00:00,0,0
ΜΥΚΟΝΟΥ,1208,0,0,2020-12-30T00:00:00,0,0
ΝΑΞΟΥ,1209,0,0,2020-12-30T00:00:00,0,0
ΝΗΣΩΝ,906,0,0,2020-12-30T00:00:00,0,0
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,2020-12-30T00:00:00,0,0
ΞΑΝΘΗΣ,105,0,0,2020-12-30T00:00:00,0,0
ΠΑΡΟΥ,1210,0,0,2020-12-30T00:00:00,0,0
ΠΕΙΡΑΙΩΣ,908,0,0,2020-12-30T00:00:00,0,0
ΠΕΛΛΑΣ,204,0,0,2020-12-30T00:00:00,0,0
ΠΙΕΡΙΑΣ,205,0,0,2020-12-30T00:00:00,0,0
ΠΡΕΒΕΖΑΣ,404,0,0,2020-12-30T00:00:00,0,0
ΡΕΘΥΜΝΟΥ,1303,0,0,2020-12-30T00:00:00,0,0
ΡΟΔΟΠΗΣ,106,0,0,2020-12-30T00:00:00,0,0
ΡΟΔΟΥ,1211,0,0,2020-12-30T00:00:00,0,0
ΣΑΜΟΥ,1104,0,0,2020-12-30T00:00:00,0,0
ΣΕΡΡΩΝ,206,0,0,2020-12-30T00:00:00,0,0
ΣΠΟΡΑΔΩΝ,504,0,0,2020-12-30T00:00:00,0,0
ΣΥΡΟΥ,1212,0,0,2020-12-30T00:00:00,0,0
ΤΗΝΟΥ,1213,0,0,2020-12-30T00:00:00,0,0
ΤΡΙΚΑΛΩΝ,505,0,0,2020-12-30T00:00:00,0,0
ΦΘΙΩΤΙΔΑΣ,804,0,0,2020-12-30T00:00:00,0,0
ΦΛΩΡΙΝΑΣ,304,0,0,2020-12-30T00:00:00,0,0
ΦΩΚΙΔΑΣ,805,0,0,2020-12-30T00:00:00,0,0
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,2020-12-30T00:00:00,0,0
ΧΑΝΙΩΝ,1304,0,0,2020-12-30T00:00:00,0,0
ΧΙΟΥ,1105,0,0,2020-12-30T00:00:00,0,0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,-2,195,2021-01-28T00:00:00,1882,2092
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,0,476,2021-01-28T00:00:00,3698,4304
ΑΝΔΡΟΥ,1201,55,55,2021-01-28T00:00:00,55,55
ΑΡΓΟΛΙΔΑΣ,1001,4,137,2021-01-28T00:00:00,1676,1677
ΑΡΚΑΔΙΑΣ,1002,50,162,2021-01-28T00:00:00,1685,1752
ΑΡΤΑΣ,401,-36,111,2021-01-28T00:00:00,1703,1892
ΑΧΑΪΑΣ,702,47,577,2021-01-28T00:00:00,5601,6954
ΒΟΙΩΤΙΑΣ,801,2,158,2021-01-28T00:00:00,1636,1637
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,30,1658,2021-01-28T00:00:00,28455,30876
ΓΡΕΒΕΝΩΝ,301,2,50,2021-01-28T00:00:00,668,668
ΔΡΑΜΑΣ,101,7,156,2021-01-28T00:00:00,1744,1744
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,14,173,2021-01-28T00:00:00,1858,2245
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,-34,739,2021-01-28T00:00:00,7981,8771
ΕΒΡΟΥ,102,19,242,2021-01-28T00:00:00,3521,3522
ΕΥΒΟΙΑΣ,802,-62,327,2021-01-28T00:00:00,3455,3502
ΕΥΡΥΤΑΝΙΑΣ,803,6,36,2021-01-28T00:00:00,445,445
ΖΑΚΥΝΘΟΥ,601,-11,49,2021-01-28T00:00:00,873,873
ΗΛΕΙΑΣ,703,3,193,2021-01-28T00:00:00,2198,2246
ΗΜΑΘΙΑΣ,201,8,207,2021-01-28T00:00:00,2100,2286
ΗΡΑΚΛΕΙΟΥ,1301,43,471,2021-01-28T00:00:00,6560,7045
ΘΑΣΟΥ,103,33,33,2021-01-28T00:00:00,33,33
ΘΕΣΠΡΩΤΙΑΣ,402,0,96,2021-01-28T00:00:00,1208,1246
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,-18,2016,2021-01-28T00:00:00,21458,25004
ΘΗΡΑΣ,1202,6,24,2021-01-28T00:00:00,209,209
ΙΘΑΚΗΣ,602,0,0,2021-01-28T00:00:00,0,0
ΙΚΑΡΙΑΣ,1101,12,24,2021-01-28T00:00:00,225,225
ΙΩΑΝΝΙΝΩΝ,403,0,414,2021-01-28T00:00:00,5021,6123
ΚΑΒΑΛΑΣ,104,14,212,2021-01-28T00:00:00,2329,2331
ΚΑΛΥΜΝΟΥ,1203,1,61,2021-01-28T00:00:00,500,500
ΚΑΡΔΙΤΣΑΣ,501,-15,204,2021-01-28T00:00:00,2112,2493
ΚΑΡΠΑΘΟΥ,1204,18,18,2021-01-28T00:00:00,165,165
ΚΑΣΤΟΡΙΑΣ,302,2,97,2021-01-28T00:00:00,1088,1088
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,2021-01-28T00:00:00,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,113,3270,2021-01-28T00:00:00,34308,42083
ΚΕΡΚΥΡΑΣ,603,-38,96,2021-01-28T00:00:00,1975,1975
ΚΕΦΑΛΛΗΝΙΑΣ,604,48,135,2021-01-28T00:00:00,1144,1144
ΚΙΛΚΙΣ,203,-14,124,2021-01-28T00:00:00,1623,1623
ΚΟΖΑΝΗΣ,303,18,220,2021-01-28T00:00:00,1958,2352
ΚΟΡΙΝΘΙΑΣ,1003,3,154,2021-01-28T00:00:00,1287,1452
ΚΩ,1206,31,73,2021-01-28T00:00:00,589,590
ΛΑΚΩΝΙΑΣ,1004,25,146,2021-01-28T00:00:00,1738,1837
ΛΑΡΙΣΑΣ,502,-11,367,2021-01-28T00:00:00,4089,5276
ΛΑΣΙΘΙΟΥ,1302,-17,228,2021-01-28T00:00:00,2571,2572
ΛΕΣΒΟΥ,1102,-2,119,2021-01-28T00:00:00,1581,1581
ΛΕΥΚΑΔΑΣ,605,33,66,2021-01-28T00:00:00,636,636
ΛΗΜΝΟΥ,1103,-13,23,2021-01-28T00:00:00,490,490
ΜΑΓΝΗΣΙΑΣ,503,-59,215,2021-01-28T00:00:00,2140,2141
ΜΕΣΣΗΝΙΑΣ,1005,-7,234,2021-01-28T00:00:00,2637,2680
ΜΗΛΟΥ,1207,1,1,2021-01-28T00:00:00,1,1
ΜΥΚΟΝΟΥ,1208,25,25,2021-01-28T00:00:00,25,25
ΝΑΞΟΥ,1209,-12,18,2021-01-28T00:00:00,276,276
ΝΗΣΩΝ,906,141,159,2021-01-28T00:00:00,307,307
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,10,288,2021-01-28T00:00:00,3731,3731
ΞΑΝΘΗΣ,105,29,123,2021-01-28T00:00:00,1521,1531
ΠΑΡΟΥ,1210,37,37,2021-01-28T00:00:00,37,37
ΠΕΙΡΑΙΩΣ,908,-34,663,2021-01-28T00:00:00,8098,8481
ΠΕΛΛΑΣ,204,-20,254,2021-01-28T00:00:00,2115,2489
ΠΙΕΡΙΑΣ,205,9,183,2021-01-28T00:00:00,1542,1815
ΠΡΕΒΕΖΑΣ,404,-4,54,2021-01-28T00:00:00,841,884
ΡΕΘΥΜΝΟΥ,1303,-15,128,2021-01-28T00:00:00,1592,1592
ΡΟΔΟΠΗΣ,106,11,101,2021-01-28T00:00:00,1152,1152
ΡΟΔΟΥ,1211,-69,153,2021-01-28T00:00:00,1602,1602
ΣΑΜΟΥ,1104,-12,30,2021-01-28T00:00:00,592,594
ΣΕΡΡΩΝ,206,1,153,2021-01-28T00:00:00,1887,1887
ΣΠΟΡΑΔΩΝ,504,35,35,2021-01-28T00:00:00,35,35
ΣΥΡΟΥ,1212,-8,32,2021-01-28T00:00:00,562,562
ΤΗΝΟΥ,1213,37,37,2021-01-28T00:00:00,37,37
ΤΡΙΚΑΛΩΝ,505,9,205,2021-01-28T00:00:00,2298,2677
ΦΘΙΩΤΙΔΑΣ,804,-27,164,2021-01-28T00:00:00,2290,2335
ΦΛΩΡΙΝΑΣ,304,-16,79,2021-01-28T00:00:00,1037,1037
ΦΩΚΙΔΑΣ,805,1,48,2021-01-28T00:00:00,598,598
ΧΑΛΚΙΔΙΚΗΣ,207,-27,105,2021-01-28T00:00:00,1222,1225
ΧΑΝΙΩΝ,1304,-27,371,2021-01-28T00:00:00,3432,4002
ΧΙΟΥ,1105,0,48,2021-01-28T00:00:00,723,723
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,195,2021-01-29T00:00:00,1977,2287
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,-13,463,2021-01-29T00:00:00,4154,4767
ΑΝΔΡΟΥ,1201,-2,53,2021-01-29T00:00:00,108,108
ΑΡΓΟΛΙΔΑΣ,1001,25,162,2021-01-29T00:00:00,1733,1839
ΑΡΚΑΔΙΑΣ,1002,8,170,2021-01-29T00:00:00,1765,1922
ΑΡΤΑΣ,401,44,155,2021-01-29T00:00:00,1779,2047
ΑΧΑΪΑΣ,702,-109,468,2021-01-29T00:00:00,5902,7422
