area,areaid,dailydose1,dailydose2,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totalvaccinations
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,1185,195,-36,1380,2021-03-12T00:00:00,32226,32226,17616,49842
ΕΒΡΟΥ,102,320,124,28,444,2021-03-12T00:00:00,12204,12204,5538,17742
ΕΥΒΟΙΑΣ,802,354,167,-39,521,2021-03-12T00:00:00,14339,14339,6082,20421
ΕΥΡΥΤΑΝΙΑΣ,803,55,2,12,57,2021-03-12T00:00:00,1538,1538,678,2216
ΖΑΚΥΝΘΟΥ,601,69,7,-12,76,2021-03-12T00:00:00,2345,2345,1343,3688
ΗΛΕΙΑΣ,703,303,48,-3,351,2021-03-12T00:00:00,8673,8673,3780,12453
ΗΜΑΘΙΑΣ,201,230,153,6,383,2021-03-12T00:00:00,9235,9235,4720,13955
ΗΡΑΚΛΕΙΟΥ,1301,484,220,18,704,2021-03-12T00:00:00,20207,20207,9900,30107
ΘΑΣΟΥ,103,1,5,6,6,2021-03-12T00:00:00,442,442,432,874
ΘΕΣΠΡΩΤΙΑΣ,402,176,14,-18,190,2021-03-12T00:00:00,5001,5001,2189,7190
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,2214,750,50,2964,2021-03-12T00:00:00,95342,95343,43936,139279
ΘΗΡΑΣ,1202,22,8,-18,30,2021-03-12T00:00:00,833,833,378,1211
ΙΘΑΚΗΣ,602,72,1,73,73,2021-03-12T00:00:00,646,646,80,726
ΙΚΑΡΙΑΣ,1101,29,6,11,35,2021-03-12T00:00:00,1424,1424,682,2106
ΙΩΑΝΝΙΝΩΝ,403,347,138,12,485,2021-03-12T00:00:00,14568,14569,8298,22867
ΚΑΒΑΛΑΣ,104,203,107,-6,310,2021-03-12T00:00:00,8072,8072,4490,12562
ΚΑΛΥΜΝΟΥ,1203,5,6,-7,11,2021-03-12T00:00:00,1451,1451,714,2165
ΚΑΡΔΙΤΣΑΣ,501,226,116,-17,342,2021-03-12T00:00:00,10646,10646,4341,14987
ΚΑΡΠΑΘΟΥ,1204,5,7,12,12,2021-03-12T00:00:00,477,477,262,739
ΚΑΣΤΟΡΙΑΣ,302,162,51,6,213,2021-03-12T00:00:00,4727,4727,2077,6804
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,24,0,6,24,2021-03-12T00:00:00,120,120,38,158
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,3628,1125,-95,4753,2021-03-12T00:00:00,117506,117507,65228,182735
ΚΕΡΚΥΡΑΣ,603,250,44,-4,294,2021-03-12T00:00:00,6854,6854,3348,10202
ΚΕΦΑΛΛΗΝΙΑΣ,604,79,8,-22,87,2021-03-12T00:00:00,3980,3980,1644,5624
ΚΙΛΚΙΣ,203,204,48,-17,252,2021-03-12T00:00:00,6952,6952,3081,10033
ΚΟΖΑΝΗΣ,303,341,88,-3,429,2021-03-12T00:00:00,10109,10109,4821,14930
ΚΟΡΙΝΘΙΑΣ,1003,219,70,-14,289,2021-03-12T00:00:00,8104,8104,3227,11331
ΚΩ,1206,188,5,102,193,2021-03-12T00:00:00,3115,3115,939,4054
ΛΑΚΩΝΙΑΣ,1004,81,128,19,209,2021-03-12T00:00:00,6982,6982,3093,10075
ΛΑΡΙΣΑΣ,502,303,201,52,504,2021-03-12T00:00:00,16866,16866,8361,25227
ΛΑΣΙΘΙΟΥ,1302,189,66,-4,255,2021-03-12T00:00:00,7878,7878,4110,11988
ΛΕΣΒΟΥ,1102,195,5,-5,200,2021-03-12T00:00:00,5166,5166,2597,7763
ΛΕΥΚΑΔΑΣ,605,67,12,-49,79,2021-03-12T00:00:00,3203,3203,1463,4666
ΛΗΜΝΟΥ,1103,47,1,0,48,2021-03-12T00:00:00,1280,1280,777,2057
ΜΑΓΝΗΣΙΑΣ,503,383,101,22,484,2021-03-12T00:00:00,11221,11221,4800,16021
ΜΕΣΣΗΝΙΑΣ,1005,200,155,44,355,2021-03-12T00:00:00,10187,10187,5233,15420
ΜΗΛΟΥ,1207,8,51,47,59,2021-03-12T00:00:00,460,460,286,746
ΜΥΚΟΝΟΥ,1208,2,4,-6,6,2021-03-12T00:00:00,183,183,154,337
ΝΑΞΟΥ,1209,22,2,-6,24,2021-03-12T00:00:00,857,857,443,1300
ΝΗΣΩΝ,906,203,15,81,218,2021-03-12T00:00:00,3426,3426,1730,5156
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,708,230,-72,938,2021-03-12T00:00:00,21474,21474,8769,30243
ΞΑΝΘΗΣ,105,148,60,-14,208,2021-03-12T00:00:00,5564,5564,2460,8024
ΠΑΡΟΥ,1210,0,12,12,12,2021-03-12T00:00:00,310,310,308,618
ΠΕΙΡΑΙΩΣ,908,1188,256,-34,1444,2021-03-12T00:00:00,33886,33886,15372,49258
ΠΕΛΛΑΣ,204,327,92,-21,419,2021-03-12T00:00:00,10751,10751,5538,16289
ΠΙΕΡΙΑΣ,205,209,82,-9,291,2021-03-12T00:00:00,6813,6813,4158,10971
ΠΡΕΒΕΖΑΣ,404,134,54,13,188,2021-03-12T00:00:00,4547,4547,1216,5763
ΡΕΘΥΜΝΟΥ,1303,228,40,-20,268,2021-03-12T00:00:00,7039,7039,2517,9556
ΡΟΔΟΠΗΣ,106,119,94,-8,213,2021-03-12T00:00:00,4929,4929,2352,7281
ΡΟΔΟΥ,1211,248,88,66,336,2021-03-12T00:00:00,6244,6244,2682,8926
ΣΑΜΟΥ,1104,54,10,8,64,2021-03-12T00:00:00,2157,2157,916,3073
ΣΕΡΡΩΝ,206,200,148,7,348,2021-03-12T00:00:00,10318,10318,3660,13978
ΣΠΟΡΑΔΩΝ,504,42,6,24,48,2021-03-12T00:00:00,479,479,253,732
ΣΥΡΟΥ,1212,51,9,12,60,2021-03-12T00:00:00,1343,1343,878,2221
ΤΗΝΟΥ,1213,4,8,6,12,2021-03-12T00:00:00,319,319,292,611
ΤΡΙΚΑΛΩΝ,505,180,172,19,352,2021-03-12T00:00:00,10087,10087,5079,15166
ΦΘΙΩΤΙΔΑΣ,804,250,129,2,379,2021-03-12T00:00:00,8718,8718,3837,12555
ΦΛΩΡΙΝΑΣ,304,128,52,-10,180,2021-03-12T00:00:00,4381,4381,1734,6115
ΦΩΚΙΔΑΣ,805,32,41,8,73,2021-03-12T00:00:00,2415,2415,1045,3460
ΧΑΛΚΙΔΙΚΗΣ,207,273,51,24,324,2021-03-12T00:00:00,8021,8021,2530,10551
ΧΑΝΙΩΝ,1304,505,36,27,541,2021-03-12T00:00:00,13880,13880,6877,20757
ΧΙΟΥ,1105,123,28,-39,151,2021-03-12T00:00:00,4172,4172,1906,6078
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,267,113,3,380,2021-03-13T00:00:00,10889,10889,4375,15264
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,838,41,-69,879,2021-03-13T00:00:00,23140,23140,9903,33043
ΑΝΔΡΟΥ,1201,2,9,2,11,2021-03-13T00:00:00,308,308,288,596
ΑΡΓΟΛΙΔΑΣ,1001,215,47,39,262,2021-03-13T00:00:00,6945,6945,3050,9995
ΑΡΚΑΔΙΑΣ,1002,241,11,21,252,2021-03-13T00:00:00,6959,6959,2839,9798
ΑΡΤΑΣ,401,80,107,26,187,2021-03-13T00:00:00,5141,5141,3345,8486
ΑΧΑΪΑΣ,702,619,126,16,745,2021-03-13T00:00:00,19933,19933,10207,30140
ΒΟΙΩΤΙΑΣ,801,271,103,-5,374,2021-03-13T00:00:00,10017,10017,2918,12935
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,1786,393,-1675,2179,2021-03-13T00:00:00,122165,122165,48116,170281
ΓΡΕΒΕΝΩΝ,301,52,48,-15,100,2021-03-13T00:00:00,2806,2806,1302,4108
ΔΡΑΜΑΣ,101,169,111,17,280,2021-03-13T00:00:00,6822,6822,3404,10226
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,198,13,4,211,2021-03-13T00:00:00,8072,8072,3020,11092
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,1154,198,-28,1352,2021-03-13T00:00:00,33380,33380,17814,51194
ΕΒΡΟΥ,102,301,184,41,485,2021-03-13T00:00:00,12505,12505,5722,18227
ΕΥΒΟΙΑΣ,802,347,124,-50,471,2021-03-13T00:00:00,14686,14686,6206,20892
ΕΥΡΥΤΑΝΙΑΣ,803,52,1,-4,53,2021-03-13T00:00:00,1590,1590,679,2269
ΖΑΚΥΝΘΟΥ,601,46,11,-19,57,2021-03-13T00:00:00,2391,2391,1354,3745
ΗΛΕΙΑΣ,703,298,54,1,352,2021-03-13T00:00:00,8971,8971,3834,12805
ΗΜΑΘΙΑΣ,201,200,180,-3,380,2021-03-13T00:00:00,9435,9435,4900,14335
ΗΡΑΚΛΕΙΟΥ,1301,502,214,12,716,2021-03-13T00:00:00,20709,20709,10114,30823
ΘΑΣΟΥ,103,0,0,-6,0,2021-03-13T00:00:00,442,442,432,874
ΘΕΣΠΡΩΤΙΑΣ,402,163,14,-13,177,2021-03-13T00:00:00,5164,5164,2203,7367
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,2159,784,-21,2943,2021-03-13T00:00:00,97501,97502,44720,142222
ΘΗΡΑΣ,1202,30,0,0,30,2021-03-13T00:00:00,863,863,378,1241
ΙΘΑΚΗΣ,602,18,42,-13,60,2021-03-13T00:00:00,664,664,122,786
ΙΚΑΡΙΑΣ,1101,9,0,-26,9,2021-03-13T00:00:00,1433,1433,682,2115
ΙΩΑΝΝΙΝΩΝ,403,357,135,7,492,2021-03-13T00:00:00,14925,14926,8433,23359
ΚΑΒΑΛΑΣ,104,210,102,2,312,2021-03-13T00:00:00,8282,8282,4592,12874
ΚΑΛΥΜΝΟΥ,1203,4,6,-1,10,2021-03-13T00:00:00,1455,1455,720,2175
ΚΑΡΔΙΤΣΑΣ,501,261,57,-24,318,2021-03-13T00:00:00,10907,10907,4398,15305
ΚΑΡΠΑΘΟΥ,1204,1,3,-8,4,2021-03-13T00:00:00,478,478,265,743
ΚΑΣΤΟΡΙΑΣ,302,153,56,-4,209,2021-03-13T00:00:00,4880,4880,2133,7013
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,24,0,0,24,2021-03-13T00:00:00,144,144,38,182
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,3427,1105,-221,4532,2021-03-13T00:00:00,120933,120934,66333,187267
ΚΕΡΚΥΡΑΣ,603,302,38,46,340,2021-03-13T00:00:00,7156,7156,3386,10542
ΚΕΦΑΛΛΗΝΙΑΣ,604,62,3,-22,65,2021-03-13T00:00:00,4042,4042,1647,5689
ΚΙΛΚΙΣ,203,170,52,-30,222,2021-03-13T00:00:00,7122,7122,3133,10255
ΚΟΖΑΝΗΣ,303,357,78,6,435,2021-03-13T00:00:00,10466,10466,4899,15365
ΚΟΡΙΝΘΙΑΣ,1003,227,86,24,313,2021-03-13T00:00:00,8331,8331,3313,11644
ΚΩ,1206,73,71,-49,144,2021-03-13T00:00:00,3188,3188,1010,4198
ΛΑΚΩΝΙΑΣ,1004,61,130,-18,191,2021-03-13T00:00:00,7043,7043,3223,10266
ΛΑΡΙΣΑΣ,502,347,113,-44,460,2021-03-13T00:00:00,17213,17213,8474,25687
ΛΑΣΙΘΙΟΥ,1302,141,37,-77,178,2021-03-13T00:00:00,8019,8019,4147,12166
ΛΕΣΒΟΥ,1102,200,2,2,202,2021-03-13T00:00:00,5366,5366,2599,7965
ΛΕΥΚΑΔΑΣ,605,65,9,-5,74,2021-03-13T00:00:00,3268,3268,1472,4740
ΛΗΜΝΟΥ,1103,48,6,6,54,2021-03-13T00:00:00,1328,1328,783,2111
ΜΑΓΝΗΣΙΑΣ,503,344,116,-24,460,2021-03-13T00:00:00,11565,11565,4916,16481
ΜΕΣΣΗΝΙΑΣ,1005,191,144,-20,335,2021-03-13T00:00:00,10378,10378,5377,15755
ΜΗΛΟΥ,1207,0,0,-59,0,2021-03-13T00:00:00,460,460,286,746
ΜΥΚΟΝΟΥ,1208,0,0,-6,0,2021-03-13T00:00:00,183,183,154,337
ΝΑΞΟΥ,1209,23,1,0,24,2021-03-13T00:00:00,880,880,444,1324
ΝΗΣΩΝ,906,163,10,-45,173,2021-03-13T00:00:00,3589,3589,1740,5329
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,717,182,-39,899,2021-03-13T00:00:00,22191,22191,8951,31142
ΞΑΝΘΗΣ,105,158,68,18,226,2021-03-13T00:00:00,5722,5722,2528,8250
